CanonicalEventId,TimestampedScreenshotPath,TimestampedScreenshotFileName,HtmlMediaPath,HtmlMediaFileName,PhotosFolderPath,MessageAttachmentsPhotosPath,SHA256,SizeBytes,Dimensions,SameHashMatch,SameTimestampMatch,SameContentPossible,Notes
CE-011,C:\Users\thoma\Documents\Cyber Crimes\Hurd Evidence 2024-05-08\Hurd Evidence 2024-05-08\Message Attachments\Photos\Screenshot 2024-04-25 at 12.43.03ΓÇ»PM.jpeg,Screenshot 2024-04-25 at 12.43.03ΓÇ»PM.jpeg,C:\Users\thoma\Documents\Cyber Crimes\Hurd Evidence 2024-05-08\Hurd Evidence 2024-05-08\Messages\HTML\media\Screenshot 2024-04-25 at 12.43.03ΓÇ»PM.jpeg,Screenshot 2024-04-25 at 12.43.03ΓÇ»PM.jpeg,,C:\Users\thoma\Documents\Cyber Crimes\Hurd Evidence 2024-05-08\Hurd Evidence 2024-05-08\Message Attachments\Photos\Screenshot 2024-04-25 at 12.43.03ΓÇ»PM.jpeg,057A0756A89DCD96D224EB14A76B4319D4BF1D9BE0E47B1FAD48EF36C0C07C53,184198,1170 x 2532,Yes,Unknown,Yes - same SHA256,Do not assume either timestamped screenshot filename or HTML/media filename was the native iPhone attachment filename without sms.db confirmation.
CE-012,C:\Users\thoma\Documents\Cyber Crimes\Hurd Evidence 2024-05-08\Hurd Evidence 2024-05-08\Messages\HTML\media\Screenshot 2024-04-25 at 12.44.13ΓÇ»PM.jpeg,Screenshot 2024-04-25 at 12.44.13ΓÇ»PM.jpeg,C:\Users\thoma\Documents\Cyber Crimes\Hurd Evidence 2024-05-08\Hurd Evidence 2024-05-08\Messages\HTML\media\Screenshot 2024-04-25 at 12.44.13ΓÇ»PM.jpeg,Screenshot 2024-04-25 at 12.44.13ΓÇ»PM.jpeg,,,E65E6D7F7B4D7CDA7C86121E3EEFF04E52373815D65857742FE5767F99D13A13,214724,1170 x 2532,Yes,Unknown,Yes - same SHA256,Do not assume either timestamped screenshot filename or HTML/media filename was the native iPhone attachment filename without sms.db confirmation.
CE-013,C:\Users\thoma\Documents\Cyber Crimes\Hurd Evidence 2024-05-08\Hurd Evidence 2024-05-08\Message Attachments\Photos\Screenshot 2024-04-25 at 12.45.10ΓÇ»PM.jpeg,Screenshot 2024-04-25 at 12.45.10ΓÇ»PM.jpeg,C:\Users\thoma\Documents\Cyber Crimes\Hurd Evidence 2024-05-08\Hurd Evidence 2024-05-08\Messages\HTML\media\Screenshot 2024-04-25 at 12.45.10ΓÇ»PM.jpeg,Screenshot 2024-04-25 at 12.45.10ΓÇ»PM.jpeg,,C:\Users\thoma\Documents\Cyber Crimes\Hurd Evidence 2024-05-08\Hurd Evidence 2024-05-08\Message Attachments\Photos\Screenshot 2024-04-25 at 12.45.10ΓÇ»PM.jpeg,2B7F34BDAAA23F44457CB0F40D361BBC447E010217CBD8579F46815DE47A7E17,277624,1170 x 2532,Yes,Unknown,Yes - same SHA256,Do not assume either timestamped screenshot filename or HTML/media filename was the native iPhone attachment filename without sms.db confirmation.
CE-014,C:\Users\thoma\Documents\Cyber Crimes\Hurd Evidence 2024-05-08\Hurd Evidence 2024-05-08\Message Attachments\Photos\Screenshot 2024-04-25 at 12.46.57ΓÇ»PM.jpeg,Screenshot 2024-04-25 at 12.46.57ΓÇ»PM.jpeg,C:\Users\thoma\Documents\Cyber Crimes\Hurd Evidence 2024-05-08\Hurd Evidence 2024-05-08\Messages\HTML\media\Screenshot 2024-04-25 at 12.46.57ΓÇ»PM.jpeg,Screenshot 2024-04-25 at 12.46.57ΓÇ»PM.jpeg,,C:\Users\thoma\Documents\Cyber Crimes\Hurd Evidence 2024-05-08\Hurd Evidence 2024-05-08\Message Attachments\Photos\Screenshot 2024-04-25 at 12.46.57ΓÇ»PM.jpeg,B965A660654FC5792BA5B5B205DA258A64B8D4ED3594CB4F0D83EA124C6CE3EC,280822,1170 x 2532,Yes,Unknown,Yes - same SHA256,Do not assume either timestamped screenshot filename or HTML/media filename was the native iPhone attachment filename without sms.db confirmation.
CE-015,C:\Users\thoma\Documents\Cyber Crimes\Hurd Evidence 2024-05-08\Hurd Evidence 2024-05-08\Message Attachments\Photos\Screenshot 2024-04-25 at 12.48.04ΓÇ»PM.jpeg,Screenshot 2024-04-25 at 12.48.04ΓÇ»PM.jpeg,C:\Users\thoma\Documents\Cyber Crimes\Hurd Evidence 2024-05-08\Hurd Evidence 2024-05-08\Messages\HTML\media\Screenshot 2024-04-25 at 12.48.04ΓÇ»PM.jpeg,Screenshot 2024-04-25 at 12.48.04ΓÇ»PM.jpeg,,C:\Users\thoma\Documents\Cyber Crimes\Hurd Evidence 2024-05-08\Hurd Evidence 2024-05-08\Message Attachments\Photos\Screenshot 2024-04-25 at 12.48.04ΓÇ»PM.jpeg,E37C71DB2139BCF3AB031F72A51B351DDC83FC3FD409B4BB1302D4CEBA3E7CF9,258876,1170 x 2532,Yes,Unknown,Yes - same SHA256,Do not assume either timestamped screenshot filename or HTML/media filename was the native iPhone attachment filename without sms.db confirmation.
CE-016,C:\Users\thoma\Documents\Cyber Crimes\Hurd Evidence 2024-05-08\Hurd Evidence 2024-05-08\Message Attachments\Photos\Screenshot 2024-04-25 at 12.49.10ΓÇ»PM.jpeg,Screenshot 2024-04-25 at 12.49.10ΓÇ»PM.jpeg,C:\Users\thoma\Documents\Cyber Crimes\Hurd Evidence 2024-05-08\Hurd Evidence 2024-05-08\Messages\HTML\media\Screenshot 2024-04-25 at 12.49.10ΓÇ»PM.jpeg,Screenshot 2024-04-25 at 12.49.10ΓÇ»PM.jpeg,,C:\Users\thoma\Documents\Cyber Crimes\Hurd Evidence 2024-05-08\Hurd Evidence 2024-05-08\Message Attachments\Photos\Screenshot 2024-04-25 at 12.49.10ΓÇ»PM.jpeg,3EB14BD68DA5395702E6C59D47D00DDF9ABB3490898DA7C871A46B2471FFDCE9,306780,1170 x 2532,Yes,Unknown,Yes - same SHA256,Do not assume either timestamped screenshot filename or HTML/media filename was the native iPhone attachment filename without sms.db confirmation.
CE-017,C:\Users\thoma\Documents\Cyber Crimes\Hurd Evidence 2024-05-08\Hurd Evidence 2024-05-08\Messages\HTML\media\Screenshot 2024-04-25 at 12.50.49ΓÇ»PM.jpeg,Screenshot 2024-04-25 at 12.50.49ΓÇ»PM.jpeg,C:\Users\thoma\Documents\Cyber Crimes\Hurd Evidence 2024-05-08\Hurd Evidence 2024-05-08\Messages\HTML\media\Screenshot 2024-04-25 at 12.50.49ΓÇ»PM.jpeg,Screenshot 2024-04-25 at 12.50.49ΓÇ»PM.jpeg,,,A64EB2285D62A3AABE20461397EEBFE3F1290DCEFBEA53A78DB187E919CDC329,387040,1170 x 2532,Yes,Unknown,Yes - same SHA256,Do not assume either timestamped screenshot filename or HTML/media filename was the native iPhone attachment filename without sms.db confirmation.
CE-018,C:\Users\thoma\Documents\Cyber Crimes\Hurd Evidence 2024-05-08\Hurd Evidence 2024-05-08\Message Attachments\Photos\Screenshot 2024-04-25 at 12.54.32ΓÇ»PM.jpeg,Screenshot 2024-04-25 at 12.54.32ΓÇ»PM.jpeg,C:\Users\thoma\Documents\Cyber Crimes\Hurd Evidence 2024-05-08\Hurd Evidence 2024-05-08\Messages\HTML\media\Screenshot 2024-04-25 at 12.54.32ΓÇ»PM.jpeg,Screenshot 2024-04-25 at 12.54.32ΓÇ»PM.jpeg,,C:\Users\thoma\Documents\Cyber Crimes\Hurd Evidence 2024-05-08\Hurd Evidence 2024-05-08\Message Attachments\Photos\Screenshot 2024-04-25 at 12.54.32ΓÇ»PM.jpeg,9BB9AA3EC59B4717E3FAC9BED9650A5BE6120C087CCDF18F999985A2CBCDC0B9,584864,1170 x 2532,Yes,Unknown,Yes - same SHA256,Do not assume either timestamped screenshot filename or HTML/media filename was the native iPhone attachment filename without sms.db confirmation.
CE-019,C:\Users\thoma\Documents\Cyber Crimes\Hurd Evidence 2024-05-08\Hurd Evidence 2024-05-08\Message Attachments\Photos\Screenshot 2024-04-25 at 12.56.09ΓÇ»PM.jpeg,Screenshot 2024-04-25 at 12.56.09ΓÇ»PM.jpeg,C:\Users\thoma\Documents\Cyber Crimes\Hurd Evidence 2024-05-08\Hurd Evidence 2024-05-08\Messages\HTML\media\Screenshot 2024-04-25 at 12.56.09ΓÇ»PM.jpeg,Screenshot 2024-04-25 at 12.56.09ΓÇ»PM.jpeg,,C:\Users\thoma\Documents\Cyber Crimes\Hurd Evidence 2024-05-08\Hurd Evidence 2024-05-08\Message Attachments\Photos\Screenshot 2024-04-25 at 12.56.09ΓÇ»PM.jpeg,68596B884DC01D9467A30A0193F8763795AD998B4ACCC204B615A7B13F95369E,437572,1170 x 2532,Yes,Unknown,Yes - same SHA256,Do not assume either timestamped screenshot filename or HTML/media filename was the native iPhone attachment filename without sms.db confirmation.
CE-020,C:\Users\thoma\Documents\Cyber Crimes\Hurd Evidence 2024-05-08\Hurd Evidence 2024-05-08\Message Attachments\Photos\Screenshot 2024-04-25 at 12.56.37ΓÇ»PM.jpeg,Screenshot 2024-04-25 at 12.56.37ΓÇ»PM.jpeg,C:\Users\thoma\Documents\Cyber Crimes\Hurd Evidence 2024-05-08\Hurd Evidence 2024-05-08\Messages\HTML\media\Screenshot 2024-04-25 at 12.56.37ΓÇ»PM.jpeg,Screenshot 2024-04-25 at 12.56.37ΓÇ»PM.jpeg,,C:\Users\thoma\Documents\Cyber Crimes\Hurd Evidence 2024-05-08\Hurd Evidence 2024-05-08\Message Attachments\Photos\Screenshot 2024-04-25 at 12.56.37ΓÇ»PM.jpeg,58F7081EF73C5B5C64DE77F726BAE14007AF0313A2B421D3A931F4142B06A901,327981,1170 x 2532,Yes,Unknown,Yes - same SHA256,Do not assume either timestamped screenshot filename or HTML/media filename was the native iPhone attachment filename without sms.db confirmation.
CE-021,C:\Users\thoma\Documents\Cyber Crimes\Hurd Evidence 2024-05-08\Hurd Evidence 2024-05-08\Message Attachments\Photos\Screenshot 2024-04-25 at 1.04.21ΓÇ»PM.jpeg,Screenshot 2024-04-25 at 1.04.21ΓÇ»PM.jpeg,C:\Users\thoma\Documents\Cyber Crimes\Hurd Evidence 2024-05-08\Hurd Evidence 2024-05-08\Messages\HTML\media\Screenshot 2024-04-25 at 1.04.21ΓÇ»PM.jpeg,Screenshot 2024-04-25 at 1.04.21ΓÇ»PM.jpeg,,C:\Users\thoma\Documents\Cyber Crimes\Hurd Evidence 2024-05-08\Hurd Evidence 2024-05-08\Message Attachments\Photos\Screenshot 2024-04-25 at 1.04.21ΓÇ»PM.jpeg,3A938F424C9BF895F7E40D6741D045645E5B92129D989B74B6F7CF86C0F84B7D,400260,1170 x 2532,Yes,Unknown,Yes - same SHA256,Do not assume either timestamped screenshot filename or HTML/media filename was the native iPhone attachment filename without sms.db confirmation.
CE-022,C:\Users\thoma\Documents\Cyber Crimes\Hurd Evidence 2024-05-08\Hurd Evidence 2024-05-08\Message Attachments\Photos\Screenshot 2024-04-25 at 1.04.58ΓÇ»PM.jpeg,Screenshot 2024-04-25 at 1.04.58ΓÇ»PM.jpeg,C:\Users\thoma\Documents\Cyber Crimes\Hurd Evidence 2024-05-08\Hurd Evidence 2024-05-08\Messages\HTML\media\Screenshot 2024-04-25 at 1.04.58ΓÇ»PM.jpeg,Screenshot 2024-04-25 at 1.04.58ΓÇ»PM.jpeg,,C:\Users\thoma\Documents\Cyber Crimes\Hurd Evidence 2024-05-08\Hurd Evidence 2024-05-08\Message Attachments\Photos\Screenshot 2024-04-25 at 1.04.58ΓÇ»PM.jpeg,61AB907196D745510298A8CAB61A2E9745B519219A3BF22653F0FE35A6422657,530026,1170 x 2532,Yes,Unknown,Yes - same SHA256,Do not assume either timestamped screenshot filename or HTML/media filename was the native iPhone attachment filename without sms.db confirmation.
CE-023,C:\Users\thoma\Documents\Cyber Crimes\Hurd Evidence 2024-05-08\Hurd Evidence 2024-05-08\Message Attachments\Photos\Screenshot 2024-04-25 at 1.06.02ΓÇ»PM.jpeg,Screenshot 2024-04-25 at 1.06.02ΓÇ»PM.jpeg,C:\Users\thoma\Documents\Cyber Crimes\Hurd Evidence 2024-05-08\Hurd Evidence 2024-05-08\Messages\HTML\media\Screenshot 2024-04-25 at 1.06.02ΓÇ»PM.jpeg,Screenshot 2024-04-25 at 1.06.02ΓÇ»PM.jpeg,,C:\Users\thoma\Documents\Cyber Crimes\Hurd Evidence 2024-05-08\Hurd Evidence 2024-05-08\Message Attachments\Photos\Screenshot 2024-04-25 at 1.06.02ΓÇ»PM.jpeg,C714504AF995F2621EAF40A600E81938D9EFD3305ACB00404DA39A092E84097F,248572,1170 x 2532,Yes,Unknown,Yes - same SHA256,Do not assume either timestamped screenshot filename or HTML/media filename was the native iPhone attachment filename without sms.db confirmation.
CE-024,C:\Users\thoma\Documents\Cyber Crimes\Hurd Evidence 2024-05-08\Hurd Evidence 2024-05-08\Messages\HTML\media\Screenshot 2024-04-25 at 1.06.27ΓÇ»PM.jpeg,Screenshot 2024-04-25 at 1.06.27ΓÇ»PM.jpeg,C:\Users\thoma\Documents\Cyber Crimes\Hurd Evidence 2024-05-08\Hurd Evidence 2024-05-08\Messages\HTML\media\Screenshot 2024-04-25 at 1.06.27ΓÇ»PM.jpeg,Screenshot 2024-04-25 at 1.06.27ΓÇ»PM.jpeg,,,036DF25AEAD5F44FAD8EC9A0371BC5E32D2CE021FAFD1A243B5F2B2C8985DA4C,258085,1170 x 2532,Yes,Unknown,Yes - same SHA256,Do not assume either timestamped screenshot filename or HTML/media filename was the native iPhone attachment filename without sms.db confirmation.
CE-025,C:\Users\thoma\Documents\Cyber Crimes\Hurd Evidence 2024-05-08\Hurd Evidence 2024-05-08\Message Attachments\Photos\Screenshot 2024-04-25 at 1.09.50ΓÇ»PM.jpeg,Screenshot 2024-04-25 at 1.09.50ΓÇ»PM.jpeg,C:\Users\thoma\Documents\Cyber Crimes\Hurd Evidence 2024-05-08\Hurd Evidence 2024-05-08\Messages\HTML\media\Screenshot 2024-04-25 at 1.09.50ΓÇ»PM.jpeg,Screenshot 2024-04-25 at 1.09.50ΓÇ»PM.jpeg,,C:\Users\thoma\Documents\Cyber Crimes\Hurd Evidence 2024-05-08\Hurd Evidence 2024-05-08\Message Attachments\Photos\Screenshot 2024-04-25 at 1.09.50ΓÇ»PM.jpeg,33F499A9943BD22BD4F156D74868451E2040EDB9A7181DC0578F606D4EF2D207,355374,1170 x 2532,Yes,Unknown,Yes - same SHA256,Do not assume either timestamped screenshot filename or HTML/media filename was the native iPhone attachment filename without sms.db confirmation.
CE-026,C:\Users\thoma\Documents\Cyber Crimes\Hurd Evidence 2024-05-08\Hurd Evidence 2024-05-08\Message Attachments\Photos\Screenshot 2024-04-25 at 1.10.25ΓÇ»PM.jpeg,Screenshot 2024-04-25 at 1.10.25ΓÇ»PM.jpeg,C:\Users\thoma\Documents\Cyber Crimes\Hurd Evidence 2024-05-08\Hurd Evidence 2024-05-08\Messages\HTML\media\Screenshot 2024-04-25 at 1.10.25ΓÇ»PM.jpeg,Screenshot 2024-04-25 at 1.10.25ΓÇ»PM.jpeg,,C:\Users\thoma\Documents\Cyber Crimes\Hurd Evidence 2024-05-08\Hurd Evidence 2024-05-08\Message Attachments\Photos\Screenshot 2024-04-25 at 1.10.25ΓÇ»PM.jpeg,9AE509BCDFEFB45C575920D0F200D8C685689DE8CDB460083484B78D31A4D5E2,427729,1170 x 2532,Yes,Unknown,Yes - same SHA256,Do not assume either timestamped screenshot filename or HTML/media filename was the native iPhone attachment filename without sms.db confirmation.
CE-027,C:\Users\thoma\Documents\Cyber Crimes\Hurd Evidence 2024-05-08\Hurd Evidence 2024-05-08\Message Attachments\Photos\Screenshot 2024-04-25 at 1.11.40ΓÇ»PM.jpeg,Screenshot 2024-04-25 at 1.11.40ΓÇ»PM.jpeg,C:\Users\thoma\Documents\Cyber Crimes\Hurd Evidence 2024-05-08\Hurd Evidence 2024-05-08\Messages\HTML\media\Screenshot 2024-04-25 at 1.11.40ΓÇ»PM.jpeg,Screenshot 2024-04-25 at 1.11.40ΓÇ»PM.jpeg,,C:\Users\thoma\Documents\Cyber Crimes\Hurd Evidence 2024-05-08\Hurd Evidence 2024-05-08\Message Attachments\Photos\Screenshot 2024-04-25 at 1.11.40ΓÇ»PM.jpeg,8A35D288F1B82412F66F8517115F2229D6D535DF29A062F7DF8CABC01A697AB8,201500,1170 x 2532,Yes,Unknown,Yes - same SHA256,Do not assume either timestamped screenshot filename or HTML/media filename was the native iPhone attachment filename without sms.db confirmation.
CE-028,C:\Users\thoma\Documents\Cyber Crimes\Hurd Evidence 2024-05-08\Hurd Evidence 2024-05-08\Message Attachments\Photos\Screenshot 2024-04-25 at 1.13.10ΓÇ»PM.jpeg,Screenshot 2024-04-25 at 1.13.10ΓÇ»PM.jpeg,C:\Users\thoma\Documents\Cyber Crimes\Hurd Evidence 2024-05-08\Hurd Evidence 2024-05-08\Messages\HTML\media\Screenshot 2024-04-25 at 1.13.10ΓÇ»PM.jpeg,Screenshot 2024-04-25 at 1.13.10ΓÇ»PM.jpeg,,C:\Users\thoma\Documents\Cyber Crimes\Hurd Evidence 2024-05-08\Hurd Evidence 2024-05-08\Message Attachments\Photos\Screenshot 2024-04-25 at 1.13.10ΓÇ»PM.jpeg,CDD7BE210D29397734E011A95617645CBF731D8BA5BB7666569FA423850DD489,271773,1170 x 2532,Yes,Unknown,Yes - same SHA256,Do not assume either timestamped screenshot filename or HTML/media filename was the native iPhone attachment filename without sms.db confirmation.
