SourceZip,SourceZipFilename,EntryPath,ExtractedPath,MatchedTerms,April19_26_2024Mention,Snippet
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-032.zip,takeout-20260602T071913Z-7-032.zip,"Takeout/Google Photos/Keegan, Robin/metadata.json","C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Photos\Keegan, Robin\metadata.json",EIN; Robin; Mom,No,"metadata.json Takeout/Google Photos/Keegan, Robin/metadata.json { ""title"": """", ""sharedAlbumComments"": [{ ""creationTime"": { ""timestamp"": ""1682024394"", ""formatted"": ""Apr 20, 2023, 8:59:54 PM UTC"" }, ""contentOwnerName"": ""Robin Hurd"", ""liked"": true }, { ""text"": ""o videos"", ""creationTime"": { ""timestamp"": ""1682024392"", ""formatted"": ""Apr 20, 2023, 8:59:52 PM UTC"" }, ""contentOwnerName"": ""Robin Hurd"" }, { ""text"": ""Dad!I!won't!to!char!a!vat eos!with!pyou!"", ""creationTime"": { ""timestamp"": ""1682024389"", ""f..."
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-032.zip,takeout-20260602T071913Z-7-032.zip,"Takeout/Google Photos/Keegan, Robin/IMG_20160630_194558.jpg.supplemental-metadata.json","C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Photos\Keegan, Robin\IMG_20160630_194558.jpg.supplemental-metadata.json",Robin,No,"IMG_20160630_194558.jpg.supplemental-metadata.json Takeout/Google Photos/Keegan, Robin/IMG_20160630_194558.jpg.supplemental-metadata.json { ""title"": ""IMG_20160630_194558.jpg"", ""description"": """", ""imageViews"": ""16"", ""creationTime"": { ""timestamp"": ""1608659401"", ""formatted"": ""Dec 22, 2020, 5:50:01 PM UTC"" }, ""photoTakenTime"": { ""timestamp"": ""1467330359"", ""formatted"": ""Jun 30, 2016, 11:45:59 PM UTC"" }, ""geoData"": { ""latitude"": 29.0997, ""longitude"": -80.9866333, ""altitude"": -79.0, ""latitudeSpan"": 0...."
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-032.zip,takeout-20260602T071913Z-7-032.zip,Takeout/Google Photos/Photos from 2014/ElijahEzraLoadingStickRedJeep.MOV.supplemental.json,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Photos\Photos from 2014\ElijahEzraLoadingStickRedJeep.MOV.supplemental.json,Elijah,No,"ElijahEzraLoadingStickRedJeep.MOV.supplemental.json Takeout/Google Photos/Photos from 2014/ElijahEzraLoadingStickRedJeep.MOV.supplemental.json { ""title"": ""ElijahEzraLoadingStickRedJeep.MOV"", ""description"": """", ""imageViews"": ""1"", ""creationTime"": { ""timestamp"": ""1470368131"", ""formatted"": ""Aug 5, 2016, 3:35:31 AM UTC"" }, ""photoTakenTime"": { ""timestamp"": ""1416746382"", ""formatted"": ""Nov 23, 2014, 12:39:42 PM UTC"" }, ""geoData"": { ""latitude"": 0.0, ""longitude"": 0.0, ""altitude"": 0.0, ""latitudeSpan"": 0.0..."
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-032.zip,takeout-20260602T071913Z-7-032.zip,Takeout/Google Photos/Photos from 2014/ElijahEzraLoadingStickRedJeep.MOV.supplemental(1).json,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Photos\Photos from 2014\ElijahEzraLoadingStickRedJeep.MOV.supplemental(1).json,Elijah,No,"ElijahEzraLoadingStickRedJeep.MOV.supplemental(1).json Takeout/Google Photos/Photos from 2014/ElijahEzraLoadingStickRedJeep.MOV.supplemental(1).json { ""title"": ""ElijahEzraLoadingStickRedJeep.MOV"", ""description"": """", ""imageViews"": ""3"", ""creationTime"": { ""timestamp"": ""1470371943"", ""formatted"": ""Aug 5, 2016, 4:39:03 AM UTC"" }, ""photoTakenTime"": { ""timestamp"": ""1416746382"", ""formatted"": ""Nov 23, 2014, 12:39:42 PM UTC"" }, ""geoData"": { ""latitude"": 0.0, ""longitude"": 0.0, ""altitude"": 0.0, ""latitudeSpan..."
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-032.zip,takeout-20260602T071913Z-7-032.zip,Takeout/Google Photos/Keegan and Robin_s Wedding Teaser/metadata.json,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Photos\Keegan and Robin_s Wedding Teaser\metadata.json,Robin,No,"metadata.json Takeout/Google Photos/Keegan and Robin_s Wedding Teaser/metadata.json { ""title"": ""Keegan and Robin's Wedding Teaser"", ""description"": ""June 23rd, 2008 @ 6am!"", ""access"": ""public"", ""date"": { ""timestamp"": ""1216882800"", ""formatted"": ""Jul 24, 2008, 7:00:00 AM UTC"" } }"
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-036.zip,takeout-20260602T071913Z-7-036.zip,Takeout/Google Photos/Robin_s Phone Photos/1212171927a.jpg,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Photos\Robin_s Phone Photos\1212171927a.jpg,Robin,No,1212171927a.jpg Takeout/Google Photos/Robin_s Phone Photos/1212171927a.jpg
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-037.zip,takeout-20260602T071913Z-7-037.zip,Takeout/Google Photos/Photos from 2013/20130521_091049.jpg.supplemental-metadata.json,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Photos\Photos from 2013\20130521_091049.jpg.supplemental-metadata.json,EIN,No,"20130521_091049.jpg.supplemental-metadata.json Takeout/Google Photos/Photos from 2013/20130521_091049.jpg.supplemental-metadata.json { ""title"": ""20130521_091049.jpg"", ""description"": """", ""imageViews"": ""102"", ""creationTime"": { ""timestamp"": ""1386270135"", ""formatted"": ""Dec 5, 2013, 7:02:15 PM UTC"" }, ""photoTakenTime"": { ""timestamp"": ""1369141848"", ""formatted"": ""May 21, 2013, 1:10:48 PM UTC"" }, ""geoData"": { ""latitude"": 0.0, ""longitude"": 0.0, ""altitude"": 0.0, ""latitudeSpan"": 0.0, ""longitudeSpan"": 0.0..."
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-037.zip,takeout-20260602T071913Z-7-037.zip,Takeout/Google Photos/Photos from 2013/Nicolle Micah Elijah BW 10x8-edited.jpg,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Photos\Photos from 2013\Nicolle Micah Elijah BW 10x8-edited.jpg,Elijah,No,Nicolle Micah Elijah BW 10x8-edited.jpg Takeout/Google Photos/Photos from 2013/Nicolle Micah Elijah BW 10x8-edited.jpg
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-038.zip,takeout-20260602T071913Z-7-038.zip,Takeout/Google Photos/Photos from 2013/Nicolle Micah Elijah BW 10x8.jpg,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Photos\Photos from 2013\Nicolle Micah Elijah BW 10x8.jpg,Elijah,No,Nicolle Micah Elijah BW 10x8.jpg Takeout/Google Photos/Photos from 2013/Nicolle Micah Elijah BW 10x8.jpg
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-038.zip,takeout-20260602T071913Z-7-038.zip,Takeout/Google Photos/Photos from 2013/Keegan Elijah Square 11p25.jpg,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Photos\Photos from 2013\Keegan Elijah Square 11p25.jpg,Elijah,No,Keegan Elijah Square 11p25.jpg Takeout/Google Photos/Photos from 2013/Keegan Elijah Square 11p25.jpg
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-038.zip,takeout-20260602T071913Z-7-038.zip,Takeout/Google Photos/Photos from 2013/Keegan Elijah Square 11p25.jpg.supplemental-me.json,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Photos\Photos from 2013\Keegan Elijah Square 11p25.jpg.supplemental-me.json,Elijah,No,"Keegan Elijah Square 11p25.jpg.supplemental-me.json Takeout/Google Photos/Photos from 2013/Keegan Elijah Square 11p25.jpg.supplemental-me.json { ""title"": ""Keegan Elijah Square 11p25.jpg"", ""description"": """", ""imageViews"": ""56"", ""creationTime"": { ""timestamp"": ""1390546338"", ""formatted"": ""Jan 24, 2014, 6:52:18 AM UTC"" }, ""photoTakenTime"": { ""timestamp"": ""1362307532"", ""formatted"": ""Mar 3, 2013, 10:45:32 AM UTC"" }, ""geoData"": { ""latitude"": 0.0, ""longitude"": 0.0, ""altitude"": 0.0, ""latitudeSpan"": 0.0,..."
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-038.zip,takeout-20260602T071913Z-7-038.zip,Takeout/Google Photos/Photos from 2026/IMG_4415.JPG.supplemental-metadata.json,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Photos\Photos from 2026\IMG_4415.JPG.supplemental-metadata.json,Mom,No,"IMG_4415.JPG.supplemental-metadata.json Takeout/Google Photos/Photos from 2026/IMG_4415.JPG.supplemental-metadata.json { ""title"": ""IMG_4415.JPG"", ""description"": """", ""imageViews"": ""0"", ""creationTime"": { ""timestamp"": ""1778996609"", ""formatted"": ""May 17, 2026, 5:43:29 AM UTC"" }, ""photoTakenTime"": { ""timestamp"": ""1767539101"", ""formatted"": ""Jan 4, 2026, 3:05:01 PM UTC"" }, ""geoData"": { ""latitude"": 29.101808300000002, ""longitude"": -80.99639719999999, ""altitude"": 4.421159744317367, ""latitudeSpan"": 0.0,..."
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-039.zip,takeout-20260602T071913Z-7-039.zip,Takeout/Google Photos/Photos from 2013/Elijah_s 2nd B-Day at the Zoo- (17).MOV.supple.json,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Photos\Photos from 2013\Elijah_s 2nd B-Day at the Zoo- (17).MOV.supple.json,Elijah,No,"Elijah_s 2nd B-Day at the Zoo- (17).MOV.supple.json Takeout/Google Photos/Photos from 2013/Elijah_s 2nd B-Day at the Zoo- (17).MOV.supple.json { ""title"": ""Elijah's 2nd B-Day at the Zoo- (17).MOV"", ""description"": """", ""imageViews"": ""7"", ""creationTime"": { ""timestamp"": ""1377501201"", ""formatted"": ""Aug 26, 2013, 7:13:21 AM UTC"" }, ""photoTakenTime"": { ""timestamp"": ""1362157779"", ""formatted"": ""Mar 1, 2013, 5:09:39 PM UTC"" }, ""geoData"": { ""latitude"": 0.0, ""longitude"": 0.0, ""altitude"": 0.0, ""latitudeSpan""..."
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-039.zip,takeout-20260602T071913Z-7-039.zip,Takeout/Google Photos/Photos from 2013/Elijah and Michah playing-Nov 2010.MOV.supplem.json,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Photos\Photos from 2013\Elijah and Michah playing-Nov 2010.MOV.supplem.json,Elijah,No,"Elijah and Michah playing-Nov 2010.MOV.supplem.json Takeout/Google Photos/Photos from 2013/Elijah and Michah playing-Nov 2010.MOV.supplem.json { ""title"": ""Elijah and Michah playing-Nov 2010.MOV"", ""description"": """", ""imageViews"": ""22"", ""creationTime"": { ""timestamp"": ""1377499100"", ""formatted"": ""Aug 26, 2013, 6:38:20 AM UTC"" }, ""photoTakenTime"": { ""timestamp"": ""1362150993"", ""formatted"": ""Mar 1, 2013, 3:16:33 PM UTC"" }, ""geoData"": { ""latitude"": 0.0, ""longitude"": 0.0, ""altitude"": 0.0, ""latitudeSpan""..."
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-039.zip,takeout-20260602T071913Z-7-039.zip,Takeout/Google Photos/Photos from 2013/Elijah_s 2nd B-Day at the Zoo- (4).MOV.supplem.json,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Photos\Photos from 2013\Elijah_s 2nd B-Day at the Zoo- (4).MOV.supplem.json,Elijah,No,"Elijah_s 2nd B-Day at the Zoo- (4).MOV.supplem.json Takeout/Google Photos/Photos from 2013/Elijah_s 2nd B-Day at the Zoo- (4).MOV.supplem.json { ""title"": ""Elijah's 2nd B-Day at the Zoo- (4).MOV"", ""description"": """", ""imageViews"": ""17"", ""creationTime"": { ""timestamp"": ""1377497558"", ""formatted"": ""Aug 26, 2013, 6:12:38 AM UTC"" }, ""photoTakenTime"": { ""timestamp"": ""1362158849"", ""formatted"": ""Mar 1, 2013, 5:27:29 PM UTC"" }, ""geoData"": { ""latitude"": 0.0, ""longitude"": 0.0, ""altitude"": 0.0, ""latitudeSpan""..."
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-040.zip,takeout-20260602T071913Z-7-040.zip,Takeout/Google Photos/Photos from 2013/Elijah and Michah playing-Nov 2010.MOV,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Photos\Photos from 2013\Elijah and Michah playing-Nov 2010.MOV,Elijah,No,Elijah and Michah playing-Nov 2010.MOV Takeout/Google Photos/Photos from 2013/Elijah and Michah playing-Nov 2010.MOV
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-040.zip,takeout-20260602T071913Z-7-040.zip,Takeout/Google Photos/Photos from 2013/Elijah_s 2nd B-Day at the Zoo- (17).MOV,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Photos\Photos from 2013\Elijah_s 2nd B-Day at the Zoo- (17).MOV,Elijah,No,Elijah_s 2nd B-Day at the Zoo- (17).MOV Takeout/Google Photos/Photos from 2013/Elijah_s 2nd B-Day at the Zoo- (17).MOV
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-040.zip,takeout-20260602T071913Z-7-040.zip,Takeout/Google Photos/Photos from 2013/Elijah_s 2nd B-Day at the Zoo- (4).MOV,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Photos\Photos from 2013\Elijah_s 2nd B-Day at the Zoo- (4).MOV,Elijah,No,Elijah_s 2nd B-Day at the Zoo- (4).MOV Takeout/Google Photos/Photos from 2013/Elijah_s 2nd B-Day at the Zoo- (4).MOV
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-040.zip,takeout-20260602T071913Z-7-040.zip,Takeout/Google Photos/Photos from 2013/Keegan Elijah Square 11p25-edited.jpg,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Photos\Photos from 2013\Keegan Elijah Square 11p25-edited.jpg,Elijah,No,Keegan Elijah Square 11p25-edited.jpg Takeout/Google Photos/Photos from 2013/Keegan Elijah Square 11p25-edited.jpg
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-040.zip,takeout-20260602T071913Z-7-040.zip,Takeout/Google Photos/Photos from 2013/Elijah_s first steps (8) Summer 2010.MOV,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Photos\Photos from 2013\Elijah_s first steps (8) Summer 2010.MOV,IRS; Elijah,No,Elijah_s first steps (8) Summer 2010.MOV Takeout/Google Photos/Photos from 2013/Elijah_s first steps (8) Summer 2010.MOV
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-040.zip,takeout-20260602T071913Z-7-040.zip,Takeout/Google Photos/Photos from 2026/IMG_20260331_103435.jpg.supplemental-metadata.json,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Photos\Photos from 2026\IMG_20260331_103435.jpg.supplemental-metadata.json,Mom,No,"IMG_20260331_103435.jpg.supplemental-metadata.json Takeout/Google Photos/Photos from 2026/IMG_20260331_103435.jpg.supplemental-metadata.json { ""title"": ""IMG_20260331_103435.jpg"", ""description"": """", ""imageViews"": ""0"", ""creationTime"": { ""timestamp"": ""1774967692"", ""formatted"": ""Mar 31, 2026, 2:34:52 PM UTC"" }, ""photoTakenTime"": { ""timestamp"": ""1774967674"", ""formatted"": ""Mar 31, 2026, 2:34:34 PM UTC"" }, ""geoData"": { ""latitude"": 0.0, ""longitude"": 0.0, ""altitude"": 0.0, ""latitudeSpan"": 0.0, ""longitude..."
