Keyword,Source File,Snippet
Drive,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\My Activity\Ads\MyActivity.html,"> Used Car Racing 3D: Racer Master - Apps on Google Play 
Mar 14, 2026, 2:52:07 PM EDT
 Products:"
Gmail,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\My Activity\Ads\MyActivity.html,"> mail.google.com
 Visited Gmail 
Apr 17, 2026, 5:09:17 PM EDT
 Products: 
 Ads
 Details: 
 From Google Ads
 Why is"
Business,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\My Activity\Ads\MyActivity.html,"> Found: Business Banking - Apps on Google Play
 Used Found: Business Banking - Apps on Google Play 
Apr 26, 2026, 8:27:51 AM EDT
 <div class=""content-cell mdl-"
Mom,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\My Activity\Ads\MyActivity.html,"iv class=""outer-cell mdl-cell mdl-cell--12-col mdl-shadow--2dp""> gooddinnermom.com
 Visited No Bake Cheesecake {with video tutorial} – Good Dinner Mom 
Feb 10, 2026, 1:08:1"
Elijah,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\My Activity\Ads\MyActivity.html,"r> Visited The Amazing Life Of The Prophet Elijah (With Greg Laurie) - YouTube 
Apr 17, 2026, 4:35:38 AM EDT
 Products: 
 Ads
 Details: 
&ems"
Bank,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\My Activity\AI Mode\MyActivity.html,"gh for luxury properties. 
 Current Market Considerations 
 Leading economists and housing organizations track rates within this bracket. The Bank of America Mortgage Calculator is a great resource to map out your specific down payment needs and see requirements for avoiding private mortgage insurance (PMI). 
 To get an accurate, customized quote for your $4.25 million scenario, please tell me: 
<u"
Tax,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\My Activity\AI Mode\MyActivity.html,"Principal & Interest) 
 At 7.00% Interest: ($28,261) / month (Principal & Interest) 
 
 Note: These estimates do not include property taxes, homeowners insurance, or HOA fees, which are generally very high for luxury properties. 
 Current Market Considerations 
 Leading economists and housing organizations track rates within this bracket. The Bank of America Mortga"
EIN,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\My Activity\AI Mode\MyActivity.html,"oga instructor model lives in arizona 
 Search's response: 

Several professionals named Melissa in Arizona match your description of being a massage therapist and/or yoga instructor. 
 Key Matches in Arizona 
 
 Melissa Russo ( Instagram ) is a highly experienced Licensed Massage Therapist (LMT) and Yoga Teacher (500"
Drive,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\My Activity\AI Mode\MyActivity.html,"DeLand, FL (DED) station. 
 
 
 
 DeLand, FL to Daytona Beach, FL 
 
 The DeLand Amtrak station is about a 25-30 minute drive from the center of Daytona Beach. 
 From the DeLand station, you will need to take a taxi or use a ride-sharing service to reach your final destination in the Daytona Beach area. 
 
 
 
 Key Considerations 
 
 Travel Time: The entire journey, including transfer"
Gmail,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\My Activity\AI Mode\MyActivity.html,"has extensive experience working with professional athletes from the NFL, NBA, and MLB .
 
 Contact : (480) 720-4134 | melissa.massagetherapy@gmail.com 
 
 
 Melissa's Massage (Maricopa) : Located at 41640 W Smith Enke Rd STE 120, this practice specializes in deep tissue and relaxation . Client reviews highlight her ability to tailor pressure and techniques to specific tension areas.
 
 Contact"
Business,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\My Activity\AI Mode\MyActivity.html,">
 Your prompt: 

how about a notary brandy hare notary volusia county 
 Search's response: 

No active notary commission or local business listing exists for a Brandy Hare in Volusia County, Florida. 
 Because Florida notary commissions are public records managed by the state, you can verify if she has a pending application or holds a commission under a different name by using the official <a href=""https://notaries.dos.fl.go"
Mom,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\My Activity\AI Mode\MyActivity.html,">2. The Cleanest Alternative: ""Hairprint"" Technology 
 If you do not want to compromise on chemistry at all, look into a patented treatment called Hairprint . It is entirely non-toxic, odor-free, and explicitly designed for health-conscious individuals. 
 
 How it works: It is not a dye. Instead, it uses food-grade ingredients (including velvet bean extract, sodium bicarbonate, and manganese) to rep"
Robin,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\My Activity\AI Mode\MyActivity.html,"nd on an active stamp or an application ID ? 
 Could the name be spelled differently under state records (such as Brandy Maxwell or Robin Haire )? 
 What specific document type are you trying to verify or get notarized? 
 
 Your prompt: 

how about a notary brandy hare notary volusia county 
 Search's response: 

No active notary commission or local business li"
EIN,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\My Activity\Android\MyActivity.html,"r-cell mdl-cell mdl-cell--12-col""> Android
 Used Digital Wellbeing
This activity includes interactions with Digital Wellbeing features, such as app timers, Bedtime mode, flip to Shhh, and Focus mode. In some cases, this activity includes features that you set up, even if you're not actively using them.
Mar 20, 2026, 12:55:05 AM EDT
 <div class=""content-cell mdl-"
Drive,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\My Activity\Android\MyActivity.html,"nd Save
 Viewed Wish | HOT BLACK 16 BIT HANDHELD PORTABLE PXP PVP GAMES CONSOLE 160 RETRO MEGADRIVE DS VIDEO GAME
Apr 11, 2020, 7:23:23 PM EDT
 Products: 
 Android
 Why is this here? 
 This"
Business,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\My Activity\Android\MyActivity.html,"Save
 Viewed Wish | Fashion Men's Classic Watches Stainless Steel Quartz Watch Men Luxury Business Analog Wrist Watches Mens Clock Relogio Masculino
Apr 22, 2020, 9:15:02 PM EDT
 Products: 
 Android"
Jonathan,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\My Activity\Assistant\MyActivity.html,"ol""> Assistant
 Said Jonathan Cahn 
 Wikipedia 
Sep 22, 2017, 8:46:20 AM EDT
 <div class=""content-cell mdl-cell mdl-cell--12-col mdl-typography-"
Helo,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\My Activity\Assistant\MyActivity.html,"ass=""mdl-typography--title"">Assistant
 Said World GN Helo Android app download 
May 25, 2017, 1:42:18 PM EDT
 Products: 
 Assi"
Bank,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\My Activity\Assistant\MyActivity.html,"class=""mdl-typography--title"">Assistant
 Said Chase Bank Port Orange 
Mar 15, 2019, 2:37:59 PM EDT
 Products: 
 Assistant
 Why is th"
Banking,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\My Activity\Assistant\MyActivity.html,"raphy--body-1"">Said Wells Fargo ATM deposit limit 
 ATM Banking - ATM Tour - Wells Fargo 
Jul 26, 2018, 10:41:54 AM EDT
 Products: 
 Assistant
 Why is this here"
Tax,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\My Activity\Assistant\MyActivity.html,"--title"">Assistant
 Said when I was 20 21 22 you pay taxes 
Jun 7, 2020, 8:38:11 PM EDT
 Products: 
 Assistant
 Why is thi"
EIN,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\My Activity\Assistant\MyActivity.html,"lass=""mdl-typography--title"">Assistant
 Said can caffeine make you tired 
 Why Does Coffee Make Me Tired? Nutritionists Have the Answer ... 
Sep 12, 2019, 6:39:57 PM EDT
 <div class=""content-cell mdl-cell mdl-cell--6-col mdl-typography--body-1 mdl-typ"
Drive,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\My Activity\Assistant\MyActivity.html,"itle"">Assistant
 Said how much does it cost to get a driver's license in Florida 
Sep 10, 2019, 10:20:13 AM EDT
 <div class=""content-cell mdl-cell mdl-cell--12-col mdl-typography--captio"
Robin,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\My Activity\Assistant\MyActivity.html,"-cell mdl-cell--12-col""> Assistant
 Selected Call management, Robin Hurd, 1 386-383-7507
Jul 30, 2019, 6:21:21 PM EDT
 Products: 
 Assistant
 Why is this here? 
&e"
Jonathan,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\My Activity\Chrome\MyActivity.html,"cell mdl-cell--6-col mdl-typography--body-1"">Visited Jonathan Braese | Messenger 
May 30, 2026, 6:17:11 PM EDT
 Products: 
 Chrome
 Why is this here?"
Braese,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\My Activity\Chrome\MyActivity.html,"cell--6-col mdl-typography--body-1"">Visited Jonathan Braese | Messenger 
May 30, 2026, 6:17:11 PM EDT
 Products: 
 Chrome
 Why is this here? 
 Thi"
Breas,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\My Activity\Chrome\MyActivity.html,+should+take+before+using+Slenderiix%E2%84%A2+%26+Xceler8%E2%84%A2%3F%22%2C%22acceptedAnswer%22%3A%7B%22%40type%22%3A%22Answer%22%2C%22text%22%3A%22Individuals+who+are+pregnant%2C+breastfeeding%2C+have+a+medical+condition%2C+or+are+taking+medication+should+consult+a+healthcare+professional+before+using+this+product.+This+ensures+that+it+is+appropriate+for+their+specific+situation.%22%7D%7D%5D%7D%3C%2Fscript%3E&rlz=1C1ONGR_enUS1130US1130&oq=%3Cscript+type%3D%22application%2Fld%2Bjson%22%3
keeganhurd@gmail.com,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\My Activity\Chrome\MyActivity.html,""">mail.google.com
 Visited Inbox (15,430) - keeganhurd@gmail.com - Gmail 
Jun 1, 2026, 5:12:30 PM EDT
 Products: 
 Chrome
 <div class"
GoFingerprinting,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\My Activity\Chrome\MyActivity.html,"iv class=""content-cell mdl-cell mdl-cell--6-col mdl-typography--body-1"">Visited GoFingerprinting | Base44 
Apr 11, 2026, 11:09:11 AM EDT
 Products: 
 Chrome
 Why is this here? 
&"
Go Fingerprinting,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\My Activity\Chrome\MyActivity.html,"l-typography--body-1"">Visited Livescan Fingerprinting | Go Fingerprinting & Notary | Port Orange 
Apr 10, 2026, 1:28:46 PM EDT
 Products: 
 Chrome
 Why is t"
Helo,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\My Activity\Chrome\MyActivity.html,"raphy--body-1"">Visited VinYin 75 Min by @helosounds | Suno 
May 27, 2026, 2:38:34 PM EDT
 Products: 
 Chrome
 Why is this here? 
 This"
Merchant,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\My Activity\Chrome\MyActivity.html,"2450593697471%26device%3Dm%26mktype%3Dpla%26googleloc%3D9011502%26poi%3D%26campaignid%3D21214286338%26mkgroupid%3D186346748377%26rlsatarget%3Dpla-2450593697471%26abcId%3D9407521%26merchantid%3D5432535073%26gad_source%3D1%26gad_campaignid%3D21214286338%26gbraid%3D0AAAAAD_QDh8hDKIn-6asPvxCEGuyAkXhe%26gclid%3DCj0KCQjw77bPBhC_ARIsAGAjjV-zon4lLlGKyFckZlagHHnIcDOQbwPe7o4sm3KKQtXqW8PdDcCIpFMaAtXkEALw_wcB&usg=AOvVaw2eP-H07ahThckLgrr6G23W"">Throttle Body Fit for 3.6L V6 09-11 Chevy Traverse 08-09 Chev"
Stripe,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\My Activity\Chrome\MyActivity.html,"billing.stripe.com
 Visited <a href=""https://www.google.com/url?q=https://billing.stripe.com/p/subscription/recovery/live_YWNjdF8xUUswNWxENUtnbkxRM0RhLF9VVERDOEd1djNjU0tTeXVhczFTVFFFZ2VLMmFuZm840100gRKYovFg/paid&usg=AOvVaw2UVCA47Uo-6mAEX5"
Bank,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\My Activity\Chrome\MyActivity.html,"iv class=""content-cell mdl-cell mdl-cell--6-col mdl-typography--body-1"">Visited Bank Payment Infrastructure for Platforms | Dwolla 
May 14, 2026, 4:41:36 PM EDT
 Products: 
 Chrome
 Wh"
Banking,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\My Activity\Chrome\MyActivity.html,"itle"">td.com
 Visited TD Bank Contact Us - Customer Service & Product Help Phone Numbers 
May 7, 2026, 1:50:03 PM EDT
 <div class=""content-cell mdl-cell mdl-cel"
Statement,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\My Activity\Chrome\MyActivity.html,"Visited Bank statements - keeganhurd@gmail.com - Gmail 
May 14, 2026, 3:17:46 PM EDT
 Products: 
 Chrome
 </"
Checking,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\My Activity\Chrome\MyActivity.html,"mdl-cell mdl-cell--6-col mdl-typography--body-1"">Visited Found | Online Business Checking for Small Business Owners 
Mar 5, 2026, 3:48:05 PM EDT
 Products: 
 Chrome
 Why is this here?</"
Savings,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\My Activity\Chrome\MyActivity.html,"dl-cell mdl-cell--6-col mdl-typography--body-1"">Visited Truist Bank | Checking, Savings, Lending, and Financial Services 
Jan 21, 2026, 1:41:20 PM EDT
 Products: 
 Chrome
 Why is this"
Tax,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\My Activity\Chrome\MyActivity.html,"LmNvbSIsImV4cCI6MTc4ODEwODU0OSwiaWF0IjoxNzgwMzMyNTQ5fQ.Dmels5RqMehY5Rec-MqF-cHAMdjJv1MkL-kT8UpqC1w%26_preview_token%3DVA027XN2n1ohwho7T5dTL15kXsAGRPjD3xbkguU98ZU&usg=AOvVaw0coZtAX-9QfTEPtU3crVQr"">https://preview-sandbox--6a11f75a3708d1aa138c6cd6.base44.app/?hide_badge=true&base44_data_env=prod&server_url=https%3A%2F%2Fpreview-sandbox--6a11f75a3708d1aa138c6cd6.base44.app&analytics-enable=false&access_token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiJrZWVnYW5odXJkQGdtYWlsLm"
EIN,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\My Activity\Chrome\MyActivity.html,"--body-1"">Visited Use direct preview persistence and queueing by keeganhurd · Pull Request #9 · keeganhurd/gizmo-ads 
May 31, 2026, 2:57:22 PM EDT
 Products: 
 Chrome"
Password,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\My Activity\Chrome\MyActivity.html,"om
 Visited E"
Drive,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\My Activity\Chrome\MyActivity.html,"v> drive.google.com
 Visited Home - Google Drive 
May 30, 2026, 5:54:04 PM EDT
 <div class=""content-cell mdl-cell mdl-cell--6-col mdl-typography--body-1 mdl-typography--text"
Gmail,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\My Activity\Chrome\MyActivity.html,"le.com
 Visited Inbox (15,430) - keeganhurd@gmail.com - Gmail 
Jun 1, 2026, 5:12:30 PM EDT
 Products: 
 Chrome
 <div class=""outer-cel"
Inbox,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\My Activity\Chrome\MyActivity.html,"s=""mdl-typography--title"">mail.google.com
 Visited Inbox (15,430) - keeganhurd@gmail.com - Gmail 
Jun 1, 2026, 5:12:30 PM EDT
 Products: 
 Chrome
</di"
Business,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\My Activity\Chrome\MyActivity.html,"v> business.facebook.com
 Visited Meta Business Suite 
Jun 1,"
Google Business,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\My Activity\Chrome\MyActivity.html,"xAxiABDIKCAIQABixAxiABDINCAMQABiDARixAxiABDIHCAQQABiABDIKCAUQABixAxiABDIHCAYQABiABDIHCAcQABiABDIKCAgQABixAxiABDIHCAkQABiPAtIBCDE3NzVqMGoxqAIAsAIA&sourceid=chrome&ie=UTF-8"">google business - Google Search 
Jul 11, 2025, 1:40:50 PM EDT
 Products: 
 Chrome
 <div c"
Mom,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\My Activity\Chrome\MyActivity.html,"p class=""mdl-typography--title"">Chrome
 Visited How To Reverse Gray Hair To Its True Color Without Dye (Hairprint Review) 
May 30, 2026, 2:28:14 AM EDT
 <div class=""content-c"
Robin,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\My Activity\Chrome\MyActivity.html,">Visited SERVICE OF COURT DOCUMENT CASE NUMBER 642020DR030411XXXXCI HURD, THOMAS KEEGAN VS HURD, ROBIN COLLEEN - keeganhurd@gmail.com - Gmail 
Jun 1, 2026, 5:10:41 PM EDT
 Products: 
 Chrome"
Elijah,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\My Activity\Chrome\MyActivity.html,"--body-1"">Visited (3) Elijah Hurd | Facebook 
Apr 19, 2026, 4:10:45 PM EDT
 Products: 
 Chrome
 Why is this here? 
&emsp"
Business,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\My Activity\Developers\MyActivity.html,"Visited https://developers.google.com/search/docs/appearance/structured-data/local-business 
Mar 25, 2024, 5:35:40 PM EDT
 <div class=""content-cell mdl-cell mdl-cell--12-col mdl-typography--caption"
Bank,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\My Activity\Discover\MyActivity.html,"ell mdl-cell mdl-cell--12-col mdl-typography--caption""> Products: 
 Discover
 Details: 
 3D printing
 Animal
 Archer Aviation
 Bankruptcy
 Economy
 Energy
 Entertainment
 Health
 Interpersonal relationship
 Physics
 Science
 Technology
 Tourist attractiveness
 Why is this here? 
 This activity was saved to your Google Account because the following settings"
Tax,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\My Activity\Discover\MyActivity.html,"r> Business
 Cryptocurrency
 Entertainment
 Finance
 iPhone
 Iran
 Law
 Maynard James Keenan
 Science
 Tax
 Technology
 Unmanned aerial vehicle
 Volusia County
 Why is this here? 
 This activity was saved to your Google Account because the following settings were on: Web & App Activity. You can control these settings <a href=""https://myaccount.google.com/activi"
EIN,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\My Activity\Discover\MyActivity.html,"=map&center=29.178692,-81.086503&zoom=10"">this general area - Based on your past activity
 Details: 
 Armed forces
 Big wave surfing
 Boeing B-52 Stratofortress
 Business
 Daytona Beach Fire Department
 Eagle
 Economy
 Education
 Entertainment
 Exercise
 Film
 Florida
 Generation Z
 Health
 In-N-Out Burger
 iPhone - viewed
 Iran
 Law<"
Password,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\My Activity\Discover\MyActivity.html,"y
 Entertainment
 Finance - viewed
 Flock Safety
 Gaming computer
 Google Pixel
 Home Depot
 Homelessness - viewed
 Password
 Robotics
 Science
 Soccer - viewed
 Technology
 Tesla
 Tesla Cybertruck
 Transport
 Weather - viewed
 2 other cards
 Why is this here? 
 This activity was saved to your Google Account because the following settings were on"
Drive,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\My Activity\Discover\MyActivity.html,"Ben Carson
 Business
 Entertainment
 Finance
 Ford Transit
 Henry Ford
 iPhone 17 Pro
 Nutrition
 OpenClaw AI drives autonomous agents
 Science
 Socrates
 Technology
 Video game
 Water Filter
 1 other card
 Why is this here? 
 This activity was saved to your Google Account because the following settings were on: Web & App Activity. You can control th"
Gmail,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\My Activity\Discover\MyActivity.html,"ass=""content-cell mdl-cell mdl-cell--12-col mdl-typography--caption""> Products: 
 Discover
 Details: 
 Business
 Car
 Finance
 Gmail
 Health
 Nature
 Retirement
 Science
 Security
 Software
 Technology
 The Velvet Sundown
 Why is this here? 
 This activity was saved to your Google Account because the following settings were on: Web & App Activity. You"
Business,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\My Activity\Discover\MyActivity.html,"p;center=29.103573,-80.998157&zoom=12"">this general area - From your places (Home)
 Details: 
 Business
 Claude
 Computer Science
 Earth Science
 Film
 Finance
 Food
 Law
 Mayor of New York City
 Podcast
 Port St. Lucie
 Rock
 Science
 Travel
 Video game
 Why is this here? 
 This activi"
Drive,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\My Activity\Drive\MyActivity.html,"l-grid""> Drive
 Visited https://drive.google.com/open?id=1-rXdzCz_ttmbzGQaAN2LCrvL8SYG6Sz_ToDXVRnJmlI&authuser=0&usp=a"
Tax,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\My Activity\Flights\MyActivity.html,"le"">Flights
 Searched for flights from Portland to MCO on Jan 31, 2026 
Dec 19, 2025, 9:08:47 PM EDT
 <b"
Mom,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\My Activity\Flights\MyActivity.html,"ll mdl-cell--6-col mdl-typography--body-1"">Searched for flights from MCO to Portland on May 28, 2020 returning Jun 2, 2020 
May 26, 2020, 12:36:13 AM EDT
 <div class=""content-cell mdl-cell mdl-cell--12-col mdl-typograph"
Stripe,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\My Activity\Gemini Apps\MyActivity.html,"TOTAL CONTRACT VALUE: $40,000.00 USD
 </div>

 <h2>3. Payment Terms</h2>
 <p>Services will be invoiced following execution. <strong>Stripe ACH transfer is preferred.</strong> Payments follow a three-part structure: Initial Deposit, Midpoint Milestone, and Final Delivery.</p>

 <h2>4. Intellectual Property & Confidentiality</h2>
 <p>Ownership of custom deliverables transfers to Client upon full payment, exclud"
Bank,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\My Activity\Gemini Apps\MyActivity.html,"cell mdl-cell--6-col mdl-typography--body-1"">Prompted change the footer. it says NAICS 541512 Computer systems design services which is odd on an a contract. the NAICS code is for banking classification.

I think it should say Cyber Secured AI Systems LLC, Registered in Florida
1 generated file.
May 4, 2026, 9:54:55 AM EDT
 import base64
from weasyprint import HTML
import os

# Check for the logo file
logo_path = 'input_file_0.png'
if not os.path.exists(logo_path):"
Banking,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\My Activity\Gemini Apps\MyActivity.html,"cell mdl-cell--6-col mdl-typography--body-1"">Prompted change the footer. it says NAICS 541512 Computer systems design services which is odd on an a contract. the NAICS code is for banking classification.

I think it should say Cyber Secured AI Systems LLC, Registered in Florida
1 generated file.
May 4, 2026, 9:54:55 AM EDT
 import base64
from weasyprint import HTML
import os

# Check for the logo file
logo_path = 'input_file_0.png'
if not os.path.exists(logo_path):"
Checking,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\My Activity\Gemini Apps\MyActivity.html,"as intermediaries between people with extra capital and those who need to borrow it. 
 Common Bank Types 
 
 Retail Banks: Serve individuals with checking accounts, savings, and personal loans. 
 Commercial Banks: Focus on providing financial services to businesses. 
 Investment Banks: Help companies raise capital and manage mergers or acquisitions. 
 Central Banks: Manage a country's cu"
Savings,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\My Activity\Gemini Apps\MyActivity.html,"between people with extra capital and those who need to borrow it. 
 Common Bank Types 
 
 Retail Banks: Serve individuals with checking accounts, savings, and personal loans. 
 Commercial Banks: Focus on providing financial services to businesses. 
 Investment Banks: Help companies raise capital and manage mergers or acquisitions. 
 Central Banks: Manage a country's currency and monetary"
