EventDateTime,EventType,ExhibitNumber,Description,WhyItMatters,Limitation,RecommendedFollowUp
2024/04/25 12:32:46,Screenshot/Image OCR,EX-066,"Screenshot 2024-04-25 at 12.32.17ΓÇ»PM.jpeg - .11 12:32 Florida Crystal Well &... 59 Brittany Ln, Palm Coast, FL 32137 0Leve rxuuelye. uuuu Ray Tue 2:14 PM Florida Crystal Well & Sprinkler, Inc. • Stev... Raz Pataca Raz Pataca: Thank you. Aleks Przhelyaskovskiy Alek",Shows timing and/or sensitive content in an image linked to the TO: Mom message thread.,OCR and HTML direction inference require native iPhone database confirmation; actor identity not independently proven.,"Verify with native extraction; compare image content, hash, message GUID, and sender/recipient handles."
2024/04/25 12:32:46,Screenshot/Image OCR,EX-166,"Screenshot 2024-04-25 at 12.32.17ΓÇ»PM.jpeg - .11 12:32 Florida Crystal Well &... 59 Brittany Ln, Palm Coast, FL 32137 0Leve rxuuelye. uuuu Ray Tue 2:14 PM Florida Crystal Well & Sprinkler, Inc. • Stev... Raz Pataca Raz Pataca: Thank you. Aleks Przhelyaskovskiy Alek",Shows timing and/or sensitive content in an image linked to the TO: Mom message thread.,OCR and HTML direction inference require native iPhone database confirmation; actor identity not independently proven.,"Verify with native extraction; compare image content, hash, message GUID, and sender/recipient handles."
2024/04/25 12:33:47,Screenshot/Image OCR,EX-067,"Screenshot 2024-04-25 at 12.33.27ΓÇ»PM.jpeg - .11 12:33 Your businesses x Add a Business Profile Verified Bahama House CHIROPRACTIC 2001 S. Atlantic Ave., Daytona Beach, FL 32... Cambria Massage Therapy - Rita Bena... Harmony, CA 93428, USA Cambria Palms Motel 2662 ",Shows timing and/or sensitive content in an image linked to the TO: Mom message thread.,OCR and HTML direction inference require native iPhone database confirmation; actor identity not independently proven.,"Verify with native extraction; compare image content, hash, message GUID, and sender/recipient handles."
2024/04/25 12:33:47,Screenshot/Image OCR,EX-167,"Screenshot 2024-04-25 at 12.33.27ΓÇ»PM.jpeg - .11 12:33 Your businesses x Add a Business Profile Verified Bahama House CHIROPRACTIC 2001 S. Atlantic Ave., Daytona Beach, FL 32... Cambria Massage Therapy - Rita Bena... Harmony, CA 93428, USA Cambria Palms Motel 2662 ",Shows timing and/or sensitive content in an image linked to the TO: Mom message thread.,OCR and HTML direction inference require native iPhone database confirmation; actor identity not independently proven.,"Verify with native extraction; compare image content, hash, message GUID, and sender/recipient handles."
2024/04/25 12:43:25,Screenshot/Image OCR,EX-068,Screenshot 2024-04-25 at 12.43.03ΓÇ»PM.jpeg - 12:43 Helo Payment Services LLC DBA Helo Payment Services - Virtue Capital Co - Contract Inbox Contract Processing a... 12:18 PM Business Funds to Meet Your Needs ACTION REQ... Contract Proce... 12:41 PM Display images R,Shows timing and/or sensitive content in an image linked to the TO: Mom message thread.,OCR and HTML direction inference require native iPhone database confirmation; actor identity not independently proven.,"Verify with native extraction; compare image content, hash, message GUID, and sender/recipient handles."
2024/04/25 12:43:25,Screenshot/Image OCR,EX-168,Screenshot 2024-04-25 at 12.43.03ΓÇ»PM.jpeg - 12:43 Helo Payment Services LLC DBA Helo Payment Services - Virtue Capital Co - Contract Inbox Contract Processing a... 12:18 PM Business Funds to Meet Your Needs ACTION REQ... Contract Proce... 12:41 PM Display images R,Shows timing and/or sensitive content in an image linked to the TO: Mom message thread.,OCR and HTML direction inference require native iPhone database confirmation; actor identity not independently proven.,"Verify with native extraction; compare image content, hash, message GUID, and sender/recipient handles."
2024/04/25 12:44:27,Screenshot/Image OCR,EX-169,Screenshot 2024-04-25 at 12.44.13ΓÇ»PM.jpeg - 12 : 44 Helo Payment Services LLC DBA Helo Payment Services - Virtue Capital Co - Contract Inbox Contract Proce... 12:18 PM Business Funds to Meet Your Needs ACTION REQUESTED The LCF Group is requesting a signature. REVI,Shows timing and/or sensitive content in an image linked to the TO: Mom message thread.,OCR and HTML direction inference require native iPhone database confirmation; actor identity not independently proven.,"Verify with native extraction; compare image content, hash, message GUID, and sender/recipient handles."
2024/04/25 12:45:32,Screenshot/Image OCR,EX-069,Screenshot 2024-04-25 at 12.45.10ΓÇ»PM.jpeg - 12:45 Completed: Helo Payment Services LLC DBA Helo Payment Services - Virtue Capital Co - Contract Inbox Underwriting vi... 12:28 PM Display images DocuSign Your document has been completed VIEW COMPLETED DOCUMENTS Unde,Shows timing and/or sensitive content in an image linked to the TO: Mom message thread.,OCR and HTML direction inference require native iPhone database confirmation; actor identity not independently proven.,"Verify with native extraction; compare image content, hash, message GUID, and sender/recipient handles."
2024/04/25 12:45:32,Screenshot/Image OCR,EX-170,Screenshot 2024-04-25 at 12.45.10ΓÇ»PM.jpeg - 12:45 Completed: Helo Payment Services LLC DBA Helo Payment Services - Virtue Capital Co - Contract Inbox Underwriting vi... 12:28 PM Display images DocuSign Your document has been completed VIEW COMPLETED DOCUMENTS Unde,Shows timing and/or sensitive content in an image linked to the TO: Mom message thread.,OCR and HTML direction inference require native iPhone database confirmation; actor identity not independently proven.,"Verify with native extraction; compare image content, hash, message GUID, and sender/recipient handles."
2024/04/25 12:47:10,Screenshot/Image OCR,EX-070,"Screenshot 2024-04-25 at 12.46.57ΓÇ»PM.jpeg - 12:46 Reminder: Jonathan Braese requests $22.00 - Micro+xfer Inbox Venmo 11:55 AM Display images venmo venmo Jonathan Braese requests $22.00 Micro+xfer Complete Charge Venmo is a service of PayPal, Inc., a licensed provi",Shows timing and/or sensitive content in an image linked to the TO: Mom message thread.,OCR and HTML direction inference require native iPhone database confirmation; actor identity not independently proven.,"Verify with native extraction; compare image content, hash, message GUID, and sender/recipient handles."
2024/04/25 12:47:10,Screenshot/Image OCR,EX-171,"Screenshot 2024-04-25 at 12.46.57ΓÇ»PM.jpeg - 12:46 Reminder: Jonathan Braese requests $22.00 - Micro+xfer Inbox Venmo 11:55 AM Display images venmo venmo Jonathan Braese requests $22.00 Micro+xfer Complete Charge Venmo is a service of PayPal, Inc., a licensed provi",Shows timing and/or sensitive content in an image linked to the TO: Mom message thread.,OCR and HTML direction inference require native iPhone database confirmation; actor identity not independently proven.,"Verify with native extraction; compare image content, hash, message GUID, and sender/recipient handles."
2024/04/25 12:48:16,Screenshot/Image OCR,EX-071,Screenshot 2024-04-25 at 12.48.04ΓÇ»PM.jpeg - 12:48 Message from Brianna Tucker Inbox Googl... to me 11:20 AM Unsubscribe From Reply To To Date Google Business Profile businessprofile- noreply@google.com Google Business Profile businessprofile- noreply@google.com ke,Shows timing and/or sensitive content in an image linked to the TO: Mom message thread.,OCR and HTML direction inference require native iPhone database confirmation; actor identity not independently proven.,"Verify with native extraction; compare image content, hash, message GUID, and sender/recipient handles."
2024/04/25 12:48:16,Screenshot/Image OCR,EX-172,Screenshot 2024-04-25 at 12.48.04ΓÇ»PM.jpeg - 12:48 Message from Brianna Tucker Inbox Googl... to me 11:20 AM Unsubscribe From Reply To To Date Google Business Profile businessprofile- noreply@google.com Google Business Profile businessprofile- noreply@google.com ke,Shows timing and/or sensitive content in an image linked to the TO: Mom message thread.,OCR and HTML direction inference require native iPhone database confirmation; actor identity not independently proven.,"Verify with native extraction; compare image content, hash, message GUID, and sender/recipient handles."
2024/04/25 12:49:24,Screenshot/Image OCR,EX-072,"Screenshot 2024-04-25 at 12.49.10ΓÇ»PM.jpeg - 12:49 Everest Business Funding - Complete Request X) Inbox admin 10:33AM Dear , Thank you for your interest in Everest Busin... admin 10:34 AM Display images Dear , Thank you for your interest in Everest Business Funding",Shows timing and/or sensitive content in an image linked to the TO: Mom message thread.,OCR and HTML direction inference require native iPhone database confirmation; actor identity not independently proven.,"Verify with native extraction; compare image content, hash, message GUID, and sender/recipient handles."
2024/04/25 12:49:24,Screenshot/Image OCR,EX-173,"Screenshot 2024-04-25 at 12.49.10ΓÇ»PM.jpeg - 12:49 Everest Business Funding - Complete Request X) Inbox admin 10:33AM Dear , Thank you for your interest in Everest Busin... admin 10:34 AM Display images Dear , Thank you for your interest in Everest Business Funding",Shows timing and/or sensitive content in an image linked to the TO: Mom message thread.,OCR and HTML direction inference require native iPhone database confirmation; actor identity not independently proven.,"Verify with native extraction; compare image content, hash, message GUID, and sender/recipient handles."
2024/04/25 12:51:02,Screenshot/Image OCR,EX-174,"Screenshot 2024-04-25 at 12.50.49ΓÇ»PM.jpeg - 12:50 Helo Payment Services LLC App Info From To Date Inbox Apr 23 me to info Keegan Hurd keeganhurd@gmail.com info@virtuecapitalco.com Apr 23, 2024 at 2:34 PM EIN: 84-2520853 https;/./uyobiz.wymgoy/ Business/FilingDetai",Shows timing and/or sensitive content in an image linked to the TO: Mom message thread.,OCR and HTML direction inference require native iPhone database confirmation; actor identity not independently proven.,"Verify with native extraction; compare image content, hash, message GUID, and sender/recipient handles."
2024/04/25 12:54:20,PDF attachment,EX-201,FILE_5531.pdf - IRS CP 575 EIN notice for HELO PAYMENT SERVICES LLC.,"Proves the April 25 sequence included an actual sensitive IRS/EIN business PDF, not just screenshots.",HTML direction inference requires native iPhone database confirmation; actor identity not independently proven.,Confirm PDF attachment metadata in native iPhone database and compare hash to all provider records.
2024/04/25 12:54:44,Screenshot/Image OCR,EX-073,"Screenshot 2024-04-25 at 12.54.32ΓÇ»PM.jpeg - 12:54 HELO Payment Service... # IRS DEPARTMENT OF THE TREASURY INTERNAL REVENUE SERVICE 45999-0023 CINCINNATI OH HELO PAYMENT SERVICES LLC THOMAS KEEGAN HURD MBR 3501 S ATLANTIC AVE UNIT 304 DAYTONA BEACH SHORES, FL 3211",Shows timing and/or sensitive content in an image linked to the TO: Mom message thread.,OCR and HTML direction inference require native iPhone database confirmation; actor identity not independently proven.,"Verify with native extraction; compare image content, hash, message GUID, and sender/recipient handles."
2024/04/25 12:54:44,Screenshot/Image OCR,EX-175,"Screenshot 2024-04-25 at 12.54.32ΓÇ»PM.jpeg - 12:54 HELO Payment Service... # IRS DEPARTMENT OF THE TREASURY INTERNAL REVENUE SERVICE 45999-0023 CINCINNATI OH HELO PAYMENT SERVICES LLC THOMAS KEEGAN HURD MBR 3501 S ATLANTIC AVE UNIT 304 DAYTONA BEACH SHORES, FL 3211",Shows timing and/or sensitive content in an image linked to the TO: Mom message thread.,OCR and HTML direction inference require native iPhone database confirmation; actor identity not independently proven.,"Verify with native extraction; compare image content, hash, message GUID, and sender/recipient handles."
2024/04/25 12:56:24,Screenshot/Image OCR,EX-074,Screenshot 2024-04-25 at 12.56.09ΓÇ»PM.jpeg - 12:56 Apr 23 me to info v Sent from my iPhone,Shows timing and/or sensitive content in an image linked to the TO: Mom message thread.,OCR and HTML direction inference require native iPhone database confirmation; actor identity not independently proven.,"Verify with native extraction; compare image content, hash, message GUID, and sender/recipient handles."
2024/04/25 12:56:24,Screenshot/Image OCR,EX-176,Screenshot 2024-04-25 at 12.56.09ΓÇ»PM.jpeg - 12:56 Apr 23 me to info v Sent from my iPhone,Shows timing and/or sensitive content in an image linked to the TO: Mom message thread.,OCR and HTML direction inference require native iPhone database confirmation; actor identity not independently proven.,"Verify with native extraction; compare image content, hash, message GUID, and sender/recipient handles."
2024/04/25 12:56:47,Screenshot/Image OCR,EX-075,"Screenshot 2024-04-25 at 12.56.37ΓÇ»PM.jpeg - 12:56 From To Date Virtue Capital Apr 23 to me Virtue Capital info@virtuecapitalco.com Keegan Hurd keeganhurd@gmail.com Apr 23, 2024 at 2:56 PM Standard encryption (TLS) Learn more Please send me over a picture copy of y",Shows timing and/or sensitive content in an image linked to the TO: Mom message thread.,OCR and HTML direction inference require native iPhone database confirmation; actor identity not independently proven.,"Verify with native extraction; compare image content, hash, message GUID, and sender/recipient handles."
2024/04/25 12:56:47,Screenshot/Image OCR,EX-177,"Screenshot 2024-04-25 at 12.56.37ΓÇ»PM.jpeg - 12:56 From To Date Virtue Capital Apr 23 to me Virtue Capital info@virtuecapitalco.com Keegan Hurd keeganhurd@gmail.com Apr 23, 2024 at 2:56 PM Standard encryption (TLS) Learn more Please send me over a picture copy of y",Shows timing and/or sensitive content in an image linked to the TO: Mom message thread.,OCR and HTML direction inference require native iPhone database confirmation; actor identity not independently proven.,"Verify with native extraction; compare image content, hash, message GUID, and sender/recipient handles."
2024/04/25 13:04:36,Screenshot/Image OCR,EX-005,"Screenshot 2024-04-25 at 1.04.21ΓÇ»PM.jpeg - 1:04 Religious Exemption Form Form - DH 681 Inbox Apr 24 me to Info.HillsWeb v I will walk in to apply, but please send me the form so I can fill out in advance. I have 7 children to register and I don't have time to han",Shows timing and/or sensitive content in an image linked to the TO: Mom message thread.,OCR and HTML direction inference require native iPhone database confirmation; actor identity not independently proven.,"Verify with native extraction; compare image content, hash, message GUID, and sender/recipient handles."
2024/04/25 13:04:36,Screenshot/Image OCR,EX-104,"Screenshot 2024-04-25 at 1.04.21ΓÇ»PM.jpeg - 1:04 Religious Exemption Form Form - DH 681 Inbox Apr 24 me to Info.HillsWeb v I will walk in to apply, but please send me the form so I can fill out in advance. I have 7 children to register and I don't have time to han",Shows timing and/or sensitive content in an image linked to the TO: Mom message thread.,OCR and HTML direction inference require native iPhone database confirmation; actor identity not independently proven.,"Verify with native extraction; compare image content, hash, message GUID, and sender/recipient handles."
2024/04/25 13:05:10,Screenshot/Image OCR,EX-006,"Screenshot 2024-04-25 at 1.04.58ΓÇ»PM.jpeg - .11 1:04 and then immediately delete it. Thank you in advance for your cooperation. Serrano, Richard R Apr 24 Good afternoon Keegan, RELIGIOUS EXEMPTIONS (DH Form 681) - Individuals requesting Religious Exemptions for ch",Shows timing and/or sensitive content in an image linked to the TO: Mom message thread.,OCR and HTML direction inference require native iPhone database confirmation; actor identity not independently proven.,"Verify with native extraction; compare image content, hash, message GUID, and sender/recipient handles."
2024/04/25 13:05:10,Screenshot/Image OCR,EX-105,"Screenshot 2024-04-25 at 1.04.58ΓÇ»PM.jpeg - .11 1:04 and then immediately delete it. Thank you in advance for your cooperation. Serrano, Richard R Apr 24 Good afternoon Keegan, RELIGIOUS EXEMPTIONS (DH Form 681) - Individuals requesting Religious Exemptions for ch",Shows timing and/or sensitive content in an image linked to the TO: Mom message thread.,OCR and HTML direction inference require native iPhone database confirmation; actor identity not independently proven.,"Verify with native extraction; compare image content, hash, message GUID, and sender/recipient handles."
2024/04/25 13:06:20,Screenshot/Image OCR,EX-007,Screenshot 2024-04-25 at 1.06.02ΓÇ»PM.jpeg - 1:06 Your Wix Payments Account Payout Is on the Way for https:// www.technerds.me/ Inbox Wix.com 7:27 AM WiX to me From Reply To To Date Wix.com Wix.com wix-team@notifications.wix.com team@notifications.wix.com keeganhur,Shows timing and/or sensitive content in an image linked to the TO: Mom message thread.,OCR and HTML direction inference require native iPhone database confirmation; actor identity not independently proven.,"Verify with native extraction; compare image content, hash, message GUID, and sender/recipient handles."
2024/04/25 13:06:20,Screenshot/Image OCR,EX-106,Screenshot 2024-04-25 at 1.06.02ΓÇ»PM.jpeg - 1:06 Your Wix Payments Account Payout Is on the Way for https:// www.technerds.me/ Inbox Wix.com 7:27 AM WiX to me From Reply To To Date Wix.com Wix.com wix-team@notifications.wix.com team@notifications.wix.com keeganhur,Shows timing and/or sensitive content in an image linked to the TO: Mom message thread.,OCR and HTML direction inference require native iPhone database confirmation; actor identity not independently proven.,"Verify with native extraction; compare image content, hash, message GUID, and sender/recipient handles."
2024/04/25 13:06:39,Screenshot/Image OCR,EX-107,Screenshot 2024-04-25 at 1.06.27ΓÇ»PM.jpeg - .11 1:06 Standard encryption (TLS) Learn more Display images Can't see this email? Click here. Your Payout Is on the Way Your money is estimated to arrive in your bank account on 04/26/2024. Great news—your 19.11 USD pay,Shows timing and/or sensitive content in an image linked to the TO: Mom message thread.,OCR and HTML direction inference require native iPhone database confirmation; actor identity not independently proven.,"Verify with native extraction; compare image content, hash, message GUID, and sender/recipient handles."
2024/04/25 13:10:13,Screenshot/Image OCR,EX-008,"Screenshot 2024-04-25 at 1.09.50ΓÇ»PM.jpeg - 1:09 Deposit Notification Inbox From To Date Navy Federal Cr... 5:20 AM to me Navy Federal Credit Union notice@messages.navyfederal.org keeganhurd@gmail.com Apr 25, 2024 at 5:20 AM Standard encryption (TLS) Learn more Im",Shows timing and/or sensitive content in an image linked to the TO: Mom message thread.,OCR and HTML direction inference require native iPhone database confirmation; actor identity not independently proven.,"Verify with native extraction; compare image content, hash, message GUID, and sender/recipient handles."
2024/04/25 13:10:13,Screenshot/Image OCR,EX-108,"Screenshot 2024-04-25 at 1.09.50ΓÇ»PM.jpeg - 1:09 Deposit Notification Inbox From To Date Navy Federal Cr... 5:20 AM to me Navy Federal Credit Union notice@messages.navyfederal.org keeganhurd@gmail.com Apr 25, 2024 at 5:20 AM Standard encryption (TLS) Learn more Im",Shows timing and/or sensitive content in an image linked to the TO: Mom message thread.,OCR and HTML direction inference require native iPhone database confirmation; actor identity not independently proven.,"Verify with native extraction; compare image content, hash, message GUID, and sender/recipient handles."
2024/04/25 13:10:46,Screenshot/Image OCR,EX-009,"Screenshot 2024-04-25 at 1.10.25ΓÇ»PM.jpeg - .11 1:10 To Date keeganhurd@gmail.com Apr 25, 2024 at 5:20 AM Standard encryption (TLS) Learn more Images from this sender are always displayed. Don't display from now on. @ NAVY FEDERAL CREDIT UNION Navy Federal Securit",Shows timing and/or sensitive content in an image linked to the TO: Mom message thread.,OCR and HTML direction inference require native iPhone database confirmation; actor identity not independently proven.,"Verify with native extraction; compare image content, hash, message GUID, and sender/recipient handles."
2024/04/25 13:10:46,Screenshot/Image OCR,EX-109,"Screenshot 2024-04-25 at 1.10.25ΓÇ»PM.jpeg - .11 1:10 To Date keeganhurd@gmail.com Apr 25, 2024 at 5:20 AM Standard encryption (TLS) Learn more Images from this sender are always displayed. Don't display from now on. @ NAVY FEDERAL CREDIT UNION Navy Federal Securit",Shows timing and/or sensitive content in an image linked to the TO: Mom message thread.,OCR and HTML direction inference require native iPhone database confirmation; actor identity not independently proven.,"Verify with native extraction; compare image content, hash, message GUID, and sender/recipient handles."
